site_id,site_name,base_point_name,base_point_date,y_m,x_m,accuracy_m,base_point_status,base_point_note
berezhnovka,Бережновка,138C,,5571765.0,560438.0,,Исходная,Дата указана неполностью.
berezhnovka,Бережновка,140D,2006-09-30,5571589.0,560544.0,,Исходная,
berezhnovka,Бережновка,140F,2016-05-25,5571655.0,560551.0,,Исходная,
molchanovka,Молчановка,571(1507),2015-07-15,5571329.0,554064.0,,Исходная,
molchanovka,Молчановка,581(1507),2015-07-15,5571406.0,554200.0,,Исходная,
nizhniy_balykley,Нижний Балыклей,124D,2006-10-03,5482978.0,510078.0,,Исходная,
nizhniy_balykley,Нижний Балыклей,124E,2006-10-03,5482974.0,510106.0,,Исходная,
nizhniy_balykley,Нижний Балыклей,124F,2006-10-03,5482973.0,510115.0,,Исходная,
nizhniy_balykley,Нижний Балыклей,126D,2006-10-03,5483010.0,510273.0,,Исходная,
nizhniy_balykley,Нижний Балыклей,126E(1107),.07.2011,5482993.0,510321.0,2.5,Исходная,"Дата указана неполностью. d=2,5 | , h-1"
nizhniy_balykley,Нижний Балыклей,126F(1107),2015-07-14,5482984.0,510356.0,,Координаты уточнены,GPS 14.07.15 | (1107)
nizhniy_balykley,Нижний Балыклей,128D(1107),2016-05-26,5483138.0,510388.0,,Исходная,
novonikolskoe,Новоникольское,118(0609),2006-09-26,5443863.0,500393.0,,Исходная,
urakov_bugor,Ураков Бугор,3,2019-08-14,5565795.0,543709.0,,Исходная,Требуется уточнение привязки точки: координаты были определены по блоку документа и конфликтуют с известным кластером точки 3 участка Нижний Ураков. Координаты извлечены из блока без явной подписи точки; в проектном контексте соответствуют точке 3 участка Ураков Бугор.
urakov_bugor,Ураков Бугор,32(1407),2014-07-12,5567183.0,546888.0,,Исходная,
urakov_bugor,Ураков Бугор,33(1407),2014-07-12,5567189.0,546870.0,,Исходная,
