site_id,site_name,profile_id,profile_num,profile_name,start_date,end_date,n_observations
berezhnovka,Бережновка,berezhnovka_profile_60,60,ПРОФИЛЬ № 60,1958-10-01,2023-10-03,24
berezhnovka,Бережновка,berezhnovka_profile_61,61,ПРОФИЛЬ № 61,1958-10-01,2023-10-03,24
berezhnovka,Бережновка,berezhnovka_profile_62,62,ПРОФИЛЬ № 62,1958-10-01,2023-10-03,24
burty,Бурты,burty_profile_1,1,ПРОФИЛЬ № 1,1987-06-30,2023-08-15,26
burty,Бурты,burty_profile_2,2,ПРОФИЛЬ № 2,1987-06-30,2023-08-15,26
burty,Бурты,burty_profile_3,3,ПРОФИЛЬ № 3,1987-06-30,2023-08-15,26
molchanovka,Молчановка,molchanovka_profile_57,57,ПРОФИЛЬ № 57,1958-09-30,2022-08-03,25
molchanovka,Молчановка,molchanovka_profile_58,58,ПРОФИЛЬ № 58,1958-09-30,2022-08-03,25
molchanovka,Молчановка,molchanovka_profile_59,59,ПРОФИЛЬ № 59,1958-09-30,2022-08-03,25
nizhniy_balykley,Нижний Балыклей,nizhniy_balykley_profile_52,52,ПРОФИЛЬ № 52,1958-09-28,2024-07-16,26
nizhniy_balykley,Нижний Балыклей,nizhniy_balykley_profile_53,53,ПРОФИЛЬ № 53,1958-09-28,2024-07-16,26
nizhniy_balykley,Нижний Балыклей,nizhniy_balykley_profile_54,54,ПРОФИЛЬ № 54,1958-09-28,2024-07-16,26
nizhniy_urakov,Нижний Ураков,nizhniy_urakov_profile_1,1,ПРОФИЛЬ № 1,1987-06-28,2022-08-02,25
nizhniy_urakov,Нижний Ураков,nizhniy_urakov_profile_2,2,ПРОФИЛЬ № 2,1987-06-28,2022-08-02,25
nizhniy_urakov,Нижний Ураков,nizhniy_urakov_profile_3,3,ПРОФИЛЬ № 3,1987-06-28,2022-08-02,25
nizhniy_urakov,Нижний Ураков,nizhniy_urakov_profile_4,4,ПРОФИЛЬ № 4,1987-06-28,2022-08-02,25
novonikolskoe,Новоникольское,novonikolskoe_profile_49,49,ПРОФИЛЬ № 49,1959-12-11,2025-10-01,23
novonikolskoe,Новоникольское,novonikolskoe_profile_50,50,ПРОФИЛЬ № 50,1959-12-11,2025-10-01,23
novonikolskoe,Новоникольское,novonikolskoe_profile_51,51,ПРОФИЛЬ № 51,1959-12-11,2025-10-01,23
pichuga_yuzhny,Пичуга-Южный,pichuga_yuzhny_profile_4,4,ПРОФИЛЬ № 4,1977-12-01,2024-07-12,19
pichuga_yuzhny,Пичуга-Южный,pichuga_yuzhny_profile_5,5,ПРОФИЛЬ № 5,1977-12-01,2024-07-12,19
pichuga_yuzhny,Пичуга-Южный,pichuga_yuzhny_profile_6,6,ПРОФИЛЬ № 6,1977-12-01,2024-07-12,19
proleyskiy,Пролейский,proleyskiy_profile_1,1,ПРОФИЛЬ № 1,1987-07-01,2023-08-14,26
proleyskiy,Пролейский,proleyskiy_profile_2,2,ПРОФИЛЬ № 2,1987-07-01,2023-08-14,26
proleyskiy,Пролейский,proleyskiy_profile_3,3,ПРОФИЛЬ № 3,1987-07-01,2023-08-14,26
suvodskaya,Суводская,suvodskaya_profile_2,2,ПРОФИЛЬ № 2,2009-07-16,2025-04-23,6
suvodskaya,Суводская,suvodskaya_profile_3,3,ПРОФИЛЬ № 3,2009-07-16,2025-04-23,6
suvodskaya,Суводская,suvodskaya_profile_4,4,ПРОФИЛЬ № 4,2009-07-16,2025-04-23,6
suvodskaya,Суводская,suvodskaya_profile_5,5,ПРОФИЛЬ № 5,2009-07-16,2025-04-23,5
suvodskaya,Суводская,suvodskaya_profile_profil_mezhdu_ovragom_i_brovkoy_vdkhr,,ПРОФИЛЬ МЕЖДУ ОВРАГОМ И БРОВКОЙ ВДХР,2009-10-16,2025-04-23,5
urakov_bugor,Ураков Бугор,urakov_bugor_profile_1,1,ПРОФИЛЬ № 1,1987-06-27,2023-10-04,26
urakov_bugor,Ураков Бугор,urakov_bugor_profile_2,2,ПРОФИЛЬ № 2,1987-06-27,2023-10-04,26
urakov_bugor,Ураков Бугор,urakov_bugor_profile_3,3,ПРОФИЛЬ № 3,1987-06-27,2023-10-04,26
