base_point_id,site_id,base_point_name,obs_date,x_m,y_m,accuracy_m,point_status,status_note,is_calculated,is_reinstalled,is_new,source_file,source_row_ref,qc_flag,qc_note
,,118 (0609),2006-09-26,5443863.0,500393.0,,unknown,,False,False,False,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:4,MANUAL_REVIEW_REQUIRED;SITE_ID_UNRESOLVED,Semi-automatic candidate from UTF-16 string extraction; verify against the original .doc before analysis. site_id was not inferred because the point name was absent or ambiguous in shoreline observations.
,,126E(1107),,5482993.0,510321.0,,unknown,,False,False,False,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:115,MANUAL_REVIEW_REQUIRED;PARTIAL_DATE;SITE_ID_UNRESOLVED,Semi-automatic candidate from UTF-16 string extraction; verify against the original .doc before analysis. Date token '.07.2011' could not be normalized safely. site_id was not inferred because the point name was absent or ambiguous in shoreline observations.
,nizhniy_balykley,126F(1107),,5482984.0,510356.0,,unknown,,False,False,False,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:121,MANUAL_REVIEW_REQUIRED;PARTIAL_DATE,Semi-automatic candidate from UTF-16 string extraction; verify against the original .doc before analysis. Date token '.07.2011' could not be normalized safely. site_id inferred from a unique point-name occurrence in shoreline observations.
,,128D(1107),,5483140.0,510388.0,,unknown,,False,False,False,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:127,MANUAL_REVIEW_REQUIRED;PARTIAL_DATE;SITE_ID_UNRESOLVED,Semi-automatic candidate from UTF-16 string extraction; verify against the original .doc before analysis. Date token '.07.2011' could not be normalized safely. site_id was not inferred because the point name was absent or ambiguous in shoreline observations.
,,128D(1107),2016-05-26,5483138.0,510388.0,,unknown,,False,False,False,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:133,MANUAL_REVIEW_REQUIRED;SITE_ID_UNRESOLVED,Semi-automatic candidate from UTF-16 string extraction; verify against the original .doc before analysis. site_id was not inferred because the point name was absent or ambiguous in shoreline observations.
,nizhniy_balykley,126F(1107),2015-07-14,5482984.0,510356.0,,unknown,,False,False,False,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:138,MANUAL_REVIEW_REQUIRED,Semi-automatic candidate from UTF-16 string extraction; verify against the original .doc before analysis. site_id inferred from a unique point-name occurrence in shoreline observations.
,urakov_bugor,32 (1407),2014-07-12,5567183.0,546888.0,,unknown,,False,False,False,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:247,MANUAL_REVIEW_REQUIRED,Semi-automatic candidate from UTF-16 string extraction; verify against the original .doc before analysis. site_id inferred from a unique point-name occurrence in shoreline observations.
,,33 (1407),2014-07-12,5567189.0,546870.0,,unknown,,False,False,False,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:251,MANUAL_REVIEW_REQUIRED;SITE_ID_UNRESOLVED,Semi-automatic candidate from UTF-16 string extraction; verify against the original .doc before analysis. site_id was not inferred because the point name was absent or ambiguous in shoreline observations.
,,571(1507),2015-07-15,5571329.0,554064.0,,unknown,,False,False,False,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:271,MANUAL_REVIEW_REQUIRED;SITE_ID_UNRESOLVED,Semi-automatic candidate from UTF-16 string extraction; verify against the original .doc before analysis. site_id was not inferred because the point name was absent or ambiguous in shoreline observations.
,,581(1507),2015-07-15,5571406.0,554200.0,,unknown,,False,False,False,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:278,MANUAL_REVIEW_REQUIRED;SITE_ID_UNRESOLVED,Semi-automatic candidate from UTF-16 string extraction; verify against the original .doc before analysis. site_id was not inferred because the point name was absent or ambiguous in shoreline observations.
,,118 (0610),,,,,unknown,,False,False,False,data/raw/docs/Абрисы-2006.doc,strings_el:4,MANUAL_REVIEW_REQUIRED;MISSING_COORDINATE;SITE_ID_UNRESOLVED,Semi-automatic candidate from UTF-16 string extraction; verify against the original .doc before analysis. No nearby explicit date token found. site_id was not inferred because the point name was absent or ambiguous in shoreline observations.
,,119 (0610),,,,,unknown,,False,False,False,data/raw/docs/Абрисы-2006.doc,strings_el:5,MANUAL_REVIEW_REQUIRED;MISSING_COORDINATE;SITE_ID_UNRESOLVED,Semi-automatic candidate from UTF-16 string extraction; verify against the original .doc before analysis. No nearby explicit date token found. site_id was not inferred because the point name was absent or ambiguous in shoreline observations.
