interval_id,site_id,profile_id,date_start,date_end,days_between,years_between,brow_pos_start_m,brow_pos_end_m,retreat_m,retreat_rate_m_per_year,retreat_abs_m,retreat_rate_abs_m_per_year,n_raw_points_used,calc_method,qc_flag,qc_note,site_name,shore_type,shore_orientation_text,shore_orientation_deg,exposure_sectors_text,lithology_text,lithology_class,notes,source_file,source_sheet,profile_num,profile_name,sheet_name_raw,start_date,end_date,n_observations,source_file_profile,in_project_scope,scope_status,scope_note,n_wind_obs,mean_wind_speed_ms,max_wind_speed_ms,coverage_wind,n_water_obs,mean_level,max_level,min_level,range_level,coverage_water,water_variable_is_ambiguous,qc_flag_analysis,qc_note_analysis
berezhnovka_profile_60_1958-10-01_1960-10-23,berezhnovka,berezhnovka_profile_60,1958-10-01,1960-10-23,753,2.0616016427104724,249.42,230.24,-19.17999999999998,-9.30344621513943,19.17999999999998,9.30344621513943,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,0,,,,,0.0,False,LOW_COVERAGE_WIND;LOW_COVERAGE_WATER,"No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water coverage is 0.00, below the 0.8 threshold."
berezhnovka_profile_60_1960-10-23_1965-07-31,berezhnovka,berezhnovka_profile_60,1960-10-23,1965-07-31,1742,4.769336071184121,230.24,198.78000000000003,-31.45999999999998,-6.596305970149249,31.45999999999998,6.596305970149249,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,0,,,,,0.0,False,LOW_COVERAGE_WIND;LOW_COVERAGE_WATER,"No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water coverage is 0.00, below the 0.8 threshold."
berezhnovka_profile_60_1965-07-31_1970-07-18,berezhnovka,berezhnovka_profile_60,1965-07-31,1970-07-18,1813,4.963723477070499,198.78000000000003,182.19,-16.590000000000032,-3.342249034749041,16.590000000000032,3.342249034749041,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,0,,,,,0.0,False,LOW_COVERAGE_WIND;LOW_COVERAGE_WATER,"No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water coverage is 0.00, below the 0.8 threshold."
berezhnovka_profile_60_1970-07-18_1974-07-13,berezhnovka,berezhnovka_profile_60,1970-07-18,1974-07-13,1456,3.98631074606434,182.19,172.92000000000002,-9.269999999999982,-2.3254584478021934,9.269999999999982,2.3254584478021934,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,0,,,,,0.0,False,LOW_COVERAGE_WIND;LOW_COVERAGE_WATER,"No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water coverage is 0.00, below the 0.8 threshold."
berezhnovka_profile_60_1974-07-13_1980-11-27,berezhnovka,berezhnovka_profile_60,1974-07-13,1980-11-27,2329,6.376454483230664,172.92000000000002,162.77,-10.150000000000006,-1.5917936882782318,10.150000000000006,1.5917936882782318,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,0,,,,,0.0,False,LOW_COVERAGE_WIND;LOW_COVERAGE_WATER,"No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water coverage is 0.00, below the 0.8 threshold."
berezhnovka_profile_60_1980-11-27_1986-10-26,berezhnovka,berezhnovka_profile_60,1980-11-27,1986-10-26,2159,5.911019849418207,162.77,148.52,-14.25,-2.41075150532654,14.25,2.41075150532654,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,1,14.35,14.35,14.35,0.0,0.14285714285714285,True,LOW_COVERAGE_WIND;LOW_COVERAGE_WATER;AMBIGUOUS_WATER_VARIABLE,"No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water coverage is 0.14, below the 0.8 threshold. Water metrics use neutral `level_col_*` fields whose physical meaning is still unresolved. Water aggregation uses neutral level_col_* fields without semantic relabeling; interpret only as a draft technical proxy."
berezhnovka_profile_60_1986-10-26_1991-10-18,berezhnovka,berezhnovka_profile_60,1986-10-26,1991-10-18,1818,4.97741273100616,148.52,130.4,-18.120000000000005,-3.640445544554457,18.120000000000005,3.640445544554457,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,6,14.542499999999999,14.795,14.335,0.4599999999999991,1.0,True,LOW_COVERAGE_WIND;AMBIGUOUS_WATER_VARIABLE,No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water metrics use neutral `level_col_*` fields whose physical meaning is still unresolved. Water aggregation uses neutral level_col_* fields without semantic relabeling; interpret only as a draft technical proxy.
berezhnovka_profile_60_1991-10-18_1994-10-21,berezhnovka,berezhnovka_profile_60,1991-10-18,1994-10-21,1099,3.0088980150581794,130.4,128.44,-1.960000000000008,-0.651401273885353,1.960000000000008,0.651401273885353,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,4,14.682500000000001,14.72,14.635000000000002,0.08499999999999908,1.0,True,LOW_COVERAGE_WIND;AMBIGUOUS_WATER_VARIABLE,No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water metrics use neutral `level_col_*` fields whose physical meaning is still unresolved. Water aggregation uses neutral level_col_* fields without semantic relabeling; interpret only as a draft technical proxy.
berezhnovka_profile_60_1994-10-21_2000-07-13,berezhnovka,berezhnovka_profile_60,1994-10-21,2000-07-13,2092,5.727583846680356,128.44,105.42,-23.02,-4.019146749521988,23.02,4.019146749521988,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,7,14.671428571428573,14.75,14.525,0.22499999999999964,1.0,True,LOW_COVERAGE_WIND;AMBIGUOUS_WATER_VARIABLE,No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water metrics use neutral `level_col_*` fields whose physical meaning is still unresolved. Water aggregation uses neutral level_col_* fields without semantic relabeling; interpret only as a draft technical proxy.
berezhnovka_profile_60_2000-07-13_2001-07-15,berezhnovka,berezhnovka_profile_60,2000-07-13,2001-07-15,367,1.0047912388774811,105.42,100.47,-4.950000000000003,-4.92639645776567,4.950000000000003,4.92639645776567,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,2,14.8225,14.895,14.75,0.14499999999999957,1.0,True,LOW_COVERAGE_WIND;AMBIGUOUS_WATER_VARIABLE,No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water metrics use neutral `level_col_*` fields whose physical meaning is still unresolved. Water aggregation uses neutral level_col_* fields without semantic relabeling; interpret only as a draft technical proxy.
berezhnovka_profile_60_2001-07-15_2005-07-22,berezhnovka,berezhnovka_profile_60,2001-07-15,2005-07-22,1468,4.0191649555099245,100.47,82.19,-18.28,-4.548208446866486,18.28,4.548208446866486,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,5,14.869,14.93,14.805,0.125,1.0,True,LOW_COVERAGE_WIND;AMBIGUOUS_WATER_VARIABLE,No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water metrics use neutral `level_col_*` fields whose physical meaning is still unresolved. Water aggregation uses neutral level_col_* fields without semantic relabeling; interpret only as a draft technical proxy.
berezhnovka_profile_60_2005-07-22_2005-10-15,berezhnovka,berezhnovka_profile_60,2005-07-22,2005-10-15,85,0.2327173169062286,82.19,82.15,-0.039999999999992,-0.1718823529411423,0.039999999999992,0.1718823529411423,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,1,14.93,14.93,14.93,0.0,1.0,True,LOW_COVERAGE_WIND;AMBIGUOUS_WATER_VARIABLE,No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water metrics use neutral `level_col_*` fields whose physical meaning is still unresolved. Water aggregation uses neutral level_col_* fields without semantic relabeling; interpret only as a draft technical proxy.
berezhnovka_profile_60_2005-10-15_2006-07-22,berezhnovka,berezhnovka_profile_60,2005-10-15,2006-07-22,280,0.7665982203969883,82.15,78.33,-3.820000000000008,-4.983053571428582,3.820000000000008,4.983053571428582,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,2,14.870000000000001,14.93,14.81,0.11999999999999922,1.0,True,LOW_COVERAGE_WIND;AMBIGUOUS_WATER_VARIABLE,No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water metrics use neutral `level_col_*` fields whose physical meaning is still unresolved. Water aggregation uses neutral level_col_* fields without semantic relabeling; interpret only as a draft technical proxy.
berezhnovka_profile_60_2006-07-22_2006-09-30,berezhnovka,berezhnovka_profile_60,2006-07-22,2006-09-30,70,0.191649555099247,78.33,78.26,-0.0699999999999931,-0.3652499999999644,0.0699999999999931,0.3652499999999644,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,1,14.81,14.81,14.81,0.0,1.0,True,LOW_COVERAGE_WIND;AMBIGUOUS_WATER_VARIABLE,No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water metrics use neutral `level_col_*` fields whose physical meaning is still unresolved. Water aggregation uses neutral level_col_* fields without semantic relabeling; interpret only as a draft technical proxy.
berezhnovka_profile_60_2006-09-30_2009-07-20,berezhnovka,berezhnovka_profile_60,2006-09-30,2009-07-20,1024,2.803559206023272,78.26,57.79,-20.47000000000001,-7.301433105468752,20.47000000000001,7.301433105468752,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,4,14.75875,14.81,14.705,0.10500000000000043,1.0,True,LOW_COVERAGE_WIND;AMBIGUOUS_WATER_VARIABLE,No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water metrics use neutral `level_col_*` fields whose physical meaning is still unresolved. Water aggregation uses neutral level_col_* fields without semantic relabeling; interpret only as a draft technical proxy.
berezhnovka_profile_60_2009-07-20_2010-07-24,berezhnovka,berezhnovka_profile_60,2009-07-20,2010-07-24,369,1.0102669404517457,57.79,65.33,7.539999999999999,7.463373983739836,7.539999999999999,7.463373983739836,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,2,14.535,14.705,14.365,0.33999999999999986,1.0,True,LOW_COVERAGE_WIND;AMBIGUOUS_WATER_VARIABLE,No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water metrics use neutral `level_col_*` fields whose physical meaning is still unresolved. Water aggregation uses neutral level_col_* fields without semantic relabeling; interpret only as a draft technical proxy.
berezhnovka_profile_60_2010-07-24_2011-09-14,berezhnovka,berezhnovka_profile_60,2010-07-24,2011-09-14,417,1.1416837782340865,65.33,65.49,0.1599999999999966,0.1401438848920833,0.1599999999999966,0.1401438848920833,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,584.0,6.253012048192771,13.0,0.361244019138756,2,14.385,14.405,14.365,0.03999999999999915,1.0,True,LOW_COVERAGE_WIND;AMBIGUOUS_WATER_VARIABLE,"Wind coverage is 0.36, below the 0.8 threshold; interval summaries should be treated as screening-only. Water metrics use neutral `level_col_*` fields whose physical meaning is still unresolved. Water aggregation uses neutral level_col_* fields without semantic relabeling; interpret only as a draft technical proxy."
berezhnovka_profile_60_2011-09-14_2012-10-16,berezhnovka,berezhnovka_profile_60,2011-09-14,2012-10-16,398,1.0896646132785763,65.49,64.52,-0.9699999999999988,-0.890182160804019,0.9699999999999988,0.890182160804019,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,309.0,6.313915857605178,11.0,0.17042606516290726,2,14.515,14.625,14.405,0.22000000000000064,1.0,True,LOW_COVERAGE_WIND;AMBIGUOUS_WATER_VARIABLE,"Wind coverage is 0.17, below the 0.8 threshold; interval summaries should be treated as screening-only. Water metrics use neutral `level_col_*` fields whose physical meaning is still unresolved. Water aggregation uses neutral level_col_* fields without semantic relabeling; interpret only as a draft technical proxy."
berezhnovka_profile_60_2012-10-16_2013-07-09,berezhnovka,berezhnovka_profile_60,2012-10-16,2013-07-09,266,0.7282683093771389,64.52,62.49,-2.029999999999994,-2.787434210526308,2.029999999999994,2.787434210526308,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,2,14.690000000000001,14.755,14.625,0.13000000000000078,1.0,True,LOW_COVERAGE_WIND;AMBIGUOUS_WATER_VARIABLE,No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water metrics use neutral `level_col_*` fields whose physical meaning is still unresolved. Water aggregation uses neutral level_col_* fields without semantic relabeling; interpret only as a draft technical proxy.
berezhnovka_profile_60_2013-07-09_2016-05-25,berezhnovka,berezhnovka_profile_60,2013-07-09,2016-05-25,1051,2.8774811772758384,62.49,53.2,-9.29,-3.228518078020932,9.29,3.228518078020932,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,4,14.6525,14.785,14.52,0.26500000000000057,1.0,True,LOW_COVERAGE_WIND;AMBIGUOUS_WATER_VARIABLE,No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water metrics use neutral `level_col_*` fields whose physical meaning is still unresolved. Water aggregation uses neutral level_col_* fields without semantic relabeling; interpret only as a draft technical proxy.
berezhnovka_profile_60_2016-05-25_2019-08-14,berezhnovka,berezhnovka_profile_60,2016-05-25,2019-08-14,1176,3.2197125256673518,53.2,45.8,-7.400000000000006,-2.2983418367346955,7.400000000000006,2.2983418367346955,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,3,14.735,14.785,14.64,0.14499999999999957,0.75,True,LOW_COVERAGE_WIND;LOW_COVERAGE_WATER;AMBIGUOUS_WATER_VARIABLE,"No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water coverage is 0.75, below the 0.8 threshold. Water metrics use neutral `level_col_*` fields whose physical meaning is still unresolved. Water aggregation uses neutral level_col_* fields without semantic relabeling; interpret only as a draft technical proxy."
berezhnovka_profile_60_2019-08-14_2021-07-07,berezhnovka,berezhnovka_profile_60,2019-08-14,2021-07-07,693,1.897330595482546,45.8,29.0,-16.799999999999997,-8.854545454545454,16.799999999999997,8.854545454545454,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,1.0,,,0.001440922190201729,0,,,,,0.0,False,LOW_COVERAGE_WIND;LOW_COVERAGE_WATER,"Wind coverage is 0.00, below the 0.8 threshold; interval summaries should be treated as screening-only. Water coverage is 0.00, below the 0.8 threshold."
berezhnovka_profile_60_2021-07-07_2023-10-03,berezhnovka,berezhnovka_profile_60,2021-07-07,2023-10-03,818,2.239561943874059,29.0,22.07,-6.93,-3.0943551344743274,6.93,3.0943551344743274,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,60.0,ПРОФИЛЬ № 60,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,13.0,,,0.007326007326007326,0,,,,,0.0,False,LOW_COVERAGE_WIND;LOW_COVERAGE_WATER,"Wind coverage is 0.01, below the 0.8 threshold; interval summaries should be treated as screening-only. Water coverage is 0.00, below the 0.8 threshold."
berezhnovka_profile_61_1958-10-01_1960-10-23,berezhnovka,berezhnovka_profile_61,1958-10-01,1960-10-23,753,2.0616016427104724,252.52,231.58,-20.94,-10.157151394422309,20.94,10.157151394422309,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,61.0,ПРОФИЛЬ № 61,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,0,,,,,0.0,False,LOW_COVERAGE_WIND;LOW_COVERAGE_WATER,"No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water coverage is 0.00, below the 0.8 threshold."
berezhnovka_profile_61_1960-10-23_1965-07-31,berezhnovka,berezhnovka_profile_61,1960-10-23,1965-07-31,1742,4.769336071184121,231.58,207.65,-23.930000000000007,-5.017469862227326,23.930000000000007,5.017469862227326,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,61.0,ПРОФИЛЬ № 61,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,0,,,,,0.0,False,LOW_COVERAGE_WIND;LOW_COVERAGE_WATER,"No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water coverage is 0.00, below the 0.8 threshold."
berezhnovka_profile_61_1965-07-31_1970-07-18,berezhnovka,berezhnovka_profile_61,1965-07-31,1970-07-18,1813,4.963723477070499,207.65,187.22,-20.430000000000007,-4.115861831218975,20.430000000000007,4.115861831218975,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,61.0,ПРОФИЛЬ № 61,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,0,,,,,0.0,False,LOW_COVERAGE_WIND;LOW_COVERAGE_WATER,"No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water coverage is 0.00, below the 0.8 threshold."
berezhnovka_profile_61_1970-07-18_1974-07-13,berezhnovka,berezhnovka_profile_61,1970-07-18,1974-07-13,1456,3.98631074606434,187.22,173.77999999999997,-13.440000000000026,-3.371538461538468,13.440000000000026,3.371538461538468,2,mean_brow_position_pn_by_date_then_difference,,,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1,61.0,ПРОФИЛЬ № 61,Бережновка,1958-10-01,2023-10-03,24,data/raw/profiles/251001 БРОВКИ Баранова.xls,True,reviewed,Listed on the project map and in the source-document scope.,0.0,,,0.0,0,,,,,0.0,False,LOW_COVERAGE_WIND;LOW_COVERAGE_WATER,"No wind observations fall inside this shoreline interval in the currently available local meteorological workbook. Water coverage is 0.00, below the 0.8 threshold."
