base_point_id,site_name_raw,site_id,base_point_name_raw,base_point_name_norm,obs_date_raw,obs_date,y_m,x_m,accuracy_m,note_raw,point_status,is_calculated,is_reinstalled,is_new,is_refined,has_uncertain_date,needs_manual_review,review_reason,source_file,source_row_ref
berezhnovka_138c_undated,Бережновка,berezhnovka,138C,138C,,,5571765.0,560438.0,,,original,False,False,False,False,True,True,date missing or partial in source,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:346
berezhnovka_140d_2006-09-30,Бережновка,berezhnovka,140D,140D,30.09.2006,2006-09-30,5571589.0,560544.0,,,original,False,False,False,False,False,False,,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:362
berezhnovka_140f_2016-05-25,Бережновка,berezhnovka,140F,140F,25.05.2016,2016-05-25,5571655.0,560551.0,,,original,False,False,False,False,False,False,,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:366
molchanovka_571_1507_2015-07-15,Молчановка,molchanovka,571(1507),571(1507),15.07.15,2015-07-15,5571329.0,554064.0,,,original,False,False,False,False,False,False,,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:285
molchanovka_581_1507_2015-07-15,Молчановка,molchanovka,581(1507),581(1507),15.07.15,2015-07-15,5571406.0,554200.0,,,original,False,False,False,False,False,False,,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:293
nizhniy_balykley_124d_2006-10-03,Нижний Балыклей,nizhniy_balykley,124D,124D,03.10.2006,2006-10-03,5482978.0,510078.0,,,original,False,False,False,False,False,False,,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:72
nizhniy_balykley_124e_2006-10-03,Нижний Балыклей,nizhniy_balykley,124E,124E,03.10.2006,2006-10-03,5482974.0,510106.0,,,original,False,False,False,False,False,False,,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:80
nizhniy_balykley_124f_2006-10-03,Нижний Балыклей,nizhniy_balykley,124F,124F,03.10.2006,2006-10-03,5482973.0,510115.0,,,original,False,False,False,False,False,False,,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:84
nizhniy_balykley_126d_2006-10-03,Нижний Балыклей,nizhniy_balykley,126D,126D,03.10.2006,2006-10-03,5483010.0,510273.0,,,original,False,False,False,False,False,False,,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:101
nizhniy_balykley_126e_1107_undated,Нижний Балыклей,nizhniy_balykley,126E(1107),126E(1107),.07.2011,,5482993.0,510321.0,2.5,"d=2,5 | , h-1",original,False,False,False,False,True,True,date missing or partial in source,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:126
nizhniy_balykley_126f_1107_2015-07-14,Нижний Балыклей,nizhniy_balykley,126F(1107),126F(1107),14.07.2015,2015-07-14,5482984.0,510356.0,,GPS 14.07.15 | (1107),refined,False,False,False,True,False,False,,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:149
nizhniy_balykley_128d_1107_2016-05-26,Нижний Балыклей,nizhniy_balykley,128D(1107),128D(1107),26.05.2016,2016-05-26,5483138.0,510388.0,,,original,False,False,False,False,False,False,,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:144
novonikolskoe_118_0609_2006-09-26,Новоникольское,novonikolskoe,118 (0609),118(0609),26.09.2006,2006-09-26,5443863.0,500393.0,,,original,False,False,False,False,False,False,,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:7
urakov_bugor_3_2019-08-14,Ураков Бугор,urakov_bugor,3,3,14.08.2019,2019-08-14,5565795.0,543709.0,,Координаты извлечены из блока без явной подписи точки; в проектном контексте соответствуют точке 3 участка Ураков Бугор.,original,False,False,False,False,False,True,Coordinate assignment inferred from the document block and conflicts with the known Nizhniy Urakov point-3 coordinate cluster.,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:229
urakov_bugor_32_1407_2014-07-12,Ураков Бугор,urakov_bugor,32 (1407),32(1407),12.07.2014,2014-07-12,5567183.0,546888.0,,,original,False,False,False,False,False,False,,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:259
urakov_bugor_33_1407_2014-07-12,Ураков Бугор,urakov_bugor,33 (1407),33(1407),12.07.2014,2014-07-12,5567189.0,546870.0,,,original,False,False,False,False,False,False,,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:264
