obs_id,site_id,profile_id,obs_date,survey_year,measured_point_name,pn_name,raw_measured_distance_m,gp_to_pn_offset_m,brow_position_pn_m,brow_position_raw_m,raw_value_text,is_missing,missing_reason,qc_flag,qc_note,source_file,source_sheet,source_row
berezhnovka_profile_60_5,berezhnovka,berezhnovka_profile_60,1958-10-01,1958.0,136.0,136В,125.4,124.02000000000001,249.42000000000002,125.4,,False,,,,data/raw/profiles/251001 БРОВКИ Баранова.xls,Бережновка,5
berezhnovka_profile_60_6,berezhnovka,berezhnovka_profile_60,1960-10-23,1960.0,136.0,136В,106.22,124.02000000000001,230.24,106.22,,False,,,,data/raw/profiles/251001 БРОВКИ Баранова.xls,Бережновка,6
berezhnovka_profile_60_7,berezhnovka,berezhnovka_profile_60,1965-07-31,1965.0,136.0,136В,74.76,124.02000000000001,198.78000000000003,74.76,,False,,,,data/raw/profiles/251001 БРОВКИ Баранова.xls,Бережновка,7
berezhnovka_profile_60_8,berezhnovka,berezhnovka_profile_60,1970-07-18,1970.0,136.0,136В,58.17,124.02000000000001,182.19,58.17,,False,,,,data/raw/profiles/251001 БРОВКИ Баранова.xls,Бережновка,8
berezhnovka_profile_60_9,berezhnovka,berezhnovka_profile_60,1974-07-13,1974.0,135.0,136В,11.8,161.12,172.92000000000002,11.8,,False,,,,data/raw/profiles/251001 БРОВКИ Баранова.xls,Бережновка,9
berezhnovka_profile_60_10,berezhnovka,berezhnovka_profile_60,1980-11-27,1980.0,135.0,136В,1.65,161.12,162.77,1.65,,False,,,,data/raw/profiles/251001 БРОВКИ Баранова.xls,Бережновка,10
berezhnovka_profile_60_11,berezhnovka,berezhnovka_profile_60,1986-10-26,1986.0,136.0,136В,24.5,124.02000000000001,148.52,24.5,,False,,,,data/raw/profiles/251001 БРОВКИ Баранова.xls,Бережновка,11
berezhnovka_profile_60_12,berezhnovka,berezhnovka_profile_60,1991-10-18,1991.0,136.0,136В,6.38,124.02000000000001,130.4,6.38,,False,,,,data/raw/profiles/251001 БРОВКИ Баранова.xls,Бережновка,12
berezhnovka_profile_60_13,berezhnovka,berezhnovka_profile_60,1994-10-21,1994.0,136.0,136В,4.42,124.02000000000001,128.44,4.42,,False,,,,data/raw/profiles/251001 БРОВКИ Баранова.xls,Бережновка,13
berezhnovka_profile_60_14,berezhnovka,berezhnovka_profile_60,2000-07-13,2000.0,136В,136В,105.42,0.0,105.42,105.42,,False,,,,data/raw/profiles/251001 БРОВКИ Баранова.xls,Бережновка,14
