site_id,site_name,shore_type,shore_orientation_text,shore_orientation_deg,exposure_sectors_text,lithology_text,lithology_class,notes,source_file,source_sheet
proleyskiy,Пролейский,Берег острова,Запад,270.0,"СЗ, З, ЮЗ","Супеси, пески",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1
burty,Бурты,Берег острова,Запад,270.0,"СЗ, З, ЮЗ","Супеси, пески",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1
berezhnovka,Бережновка,Берег острова,Севоро-восток,45.0,"С, СВ, В, ЮВ","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1
molchanovka,Молчановка,Берег острова,Северо-запад,315.0,"СВ, С, СЗ, З","Супеси, суглинки, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1
nizhniy_urakov,Нижний Ураков,Правый,Юго-восток,135.0,"В, ЮВ, Ю, ЮЗ","Суглинки, песчаные глины с опоками и опоковидными песчаниками в нижней части",Среднее по твердости,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1
urakov_bugor,Ураков Бугор,Правый,Юго-восток,135.0,"СВ, В, ЮВ, Ю","Опоки, песчаники (в том числе опоковидные и кремнистые), опоковидные глины",Твердые,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1
pichuga_yuzhny,Пичуга-Южный,Правый,Юго-восток,135.0,"СВ, В, ЮВ, Ю",Слабо уплотненные пески и песчаники с тонкими пластами глин,Твердые,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1
novonikolskoe,Новоникольское,Левый,Запад,270.0,"СЗ, З, ЮЗ, Ю","Суглинки, супеси, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1
nizhniy_balykley,Нижний Балыклей,Левый,Запад,270.0,"С, СЗ, З, ЮЗ","Супеси, суглинки, местами выходы хвалынских глин",Мягкие,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1
suvodskaya,Суводская,Правый,Восток,90.0,"СВ, В, ЮВ, Ю",Белые пески и серые песчаники на контакте с пластом ржавого песка,Среднее по твердости,,data/raw/site_metadata/Литология и орентировка берега.xlsx,Лист1
