wind_obs_id,station_id,station_name,obs_datetime,obs_date,year,month,day,hour,wind_dir_text,wind_dir_deg,wind_speed_ms,wind_gust_ms,source_file,source_sheet,source_row,is_missing,missing_reason,qc_flag,qc_note
kamyshin_2011_3,kamyshin,Камышин,2011-03-01T06:00:00,2011-03-01,2011.0,3.0,1.0,6,СВ,45.0,6.0,,data/raw/meteo/Камышин скорость и направление ветра.xlsx,2011,3,False,,,
kamyshin_2011_5,kamyshin,Камышин,2011-03-04T18:00:00,2011-03-04,2011.0,3.0,4.0,18,З,270.0,6.0,,data/raw/meteo/Камышин скорость и направление ветра.xlsx,2011,5,False,,,
kamyshin_2011_7,kamyshin,Камышин,2011-03-05T00:00:00,2011-03-05,2011.0,3.0,5.0,0,З,270.0,6.0,,data/raw/meteo/Камышин скорость и направление ветра.xlsx,2011,7,False,,,
kamyshin_2011_9,kamyshin,Камышин,2011-03-05T03:00:00,2011-03-05,2011.0,3.0,5.0,3,З,270.0,6.0,,data/raw/meteo/Камышин скорость и направление ветра.xlsx,2011,9,False,,,
kamyshin_2011_11,kamyshin,Камышин,2011-03-05T06:00:00,2011-03-05,2011.0,3.0,5.0,6,З,270.0,7.0,,data/raw/meteo/Камышин скорость и направление ветра.xlsx,2011,11,False,,,
kamyshin_2011_13,kamyshin,Камышин,2011-03-05T09:00:00,2011-03-05,2011.0,3.0,5.0,9,З,270.0,10.0,,data/raw/meteo/Камышин скорость и направление ветра.xlsx,2011,13,False,,,
kamyshin_2011_15,kamyshin,Камышин,2011-03-05T12:00:00,2011-03-05,2011.0,3.0,5.0,12,ЮЗ,225.0,12.0,,data/raw/meteo/Камышин скорость и направление ветра.xlsx,2011,15,False,,,
kamyshin_2011_17,kamyshin,Камышин,2011-03-05T15:00:00,2011-03-05,2011.0,3.0,5.0,15,ЮЗ,225.0,10.0,,data/raw/meteo/Камышин скорость и направление ветра.xlsx,2011,17,False,,,
kamyshin_2011_19,kamyshin,Камышин,2011-03-05T18:00:00,2011-03-05,2011.0,3.0,5.0,18,ЮЗ,225.0,9.0,,data/raw/meteo/Камышин скорость и направление ветра.xlsx,2011,19,False,,,
kamyshin_2011_20,kamyshin,Камышин,2011-03-05T21:00:00,2011-03-05,2011.0,3.0,5.0,21,З,270.0,9.0,,data/raw/meteo/Камышин скорость и направление ветра.xlsx,2011,20,False,,,
