Участок,Дата,Год,ГП,ИГП_м,ИПН_м,"ргп-пн, м",ГП__1,ИГП_м__1,"ргп-пн, м__1",ИПН_м__1,ГП__2,ИГП_м__2,"ргп-пн, м__2",ИПН_м__2,,ГП__3,ИГП_м__3,"ргп-пн, м__3",ИПН_м__3,ГП__4,ИГП_м__4,"ргп-пн, м__4",ИПН_м__4,__1
Бережновка,1958-10-01,1958,136,125.4,249.42,124.02000000000001,138,156.3,96.22,252.52,140,134.3,,428.8298156863984,,,,,,,,,,
Бережновка,1960-10-23,1960,136,106.22,230.24,124.02000000000001,138,135.36,96.22,231.58,140,109.2,,403.72981568639835,,,,,,,,,,
Бережновка,1965-07-31,1965,136,74.76,198.78000000000003,124.02000000000001,138,111.43,96.22,207.65,140,72.05,,366.5798156863984,,,,,,,,,,
Бережновка,1970-07-18,1970,136,58.17,182.19,124.02000000000001,138,91.0,96.22,187.22,140,48.71,,343.23981568639834,,,,,,,,,,
Бережновка,1974-07-13,1974,135,11.8,172.92000000000002,161.12,137,30.7,143.07999999999998,173.77999999999997,139,7.1,,326.63395009159166,,,,,,,,,,
Бережновка,1980-11-27,1980,135,1.65,162.77,161.12,137,20.45,143.07999999999998,163.52999999999997,140,19.45,,313.97981568639835,,,,,,,,,,
Бережновка,1986-10-26,1986,136,24.5,148.52,124.02000000000001,138,52.15,96.22,148.37,5C,19.43,,291.95568095468417,,,,,,,,,,
Бережновка,1991-10-18,1991,136,6.38,130.4,124.02000000000001,3С,5.63,122.82,128.45,5C2,25.34,,270.2921223979866,,,,,,,,,,
Бережновка,1994-10-21,1994,136,4.42,128.44,124.02000000000001,3С,5.0,122.82,127.82,140А,9.59,,248.59204690653323,,,,,,,,,,
Бережновка,2000-07-13,2000,136,105.42,105.42,0.0,138А,91.26,0.0,91.26,140,-77.79,,216.73981568639834,,,,,,,,,,
Бережновка,2001-07-15,2001,136,30.74,100.47,69.73,"Рп ""Белимова""*",41.41,43.29,84.69999999999999,140А*,32.5,,271.5020469065332,,,,,,,,,,
Бережновка,2005-07-22,2005,136,12.46,82.19,69.73,138А,53.9,0.0,53.9,,,,,,,,,,,,,,
Бережновка,2005-10-15,2005,136,12.42,82.15,69.73,138А,52.25,0.0,52.25,140С*,40.45,,180.44548040816096,,,,,,,,,,
Бережновка,2006-07-22,2006,136,8.6,78.33,69.73,138А,48.55,0.0,48.55,140С,35.85,139.99,175.84,,,,,,,,,,
Бережновка,2006-09-30,2006,136,8.53,78.26,69.73,138А,48.19,48.19,48.19,140С,35.8,139.99,175.79000000000002,,,,,,,,,,
