file,site,profile,date_raw,Дата,Год,Пункт,ГП,ИПН_м,ИГП_м,РГП_ПН_м
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,1958-10-01,1958-10-01,1958,,136,249.42,125.4,124.02
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,1960-10-23,1960-10-23,1960,,136,230.24,106.22,124.02
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,1965-07-31,1965-07-31,1965,,136,198.78,74.76,124.02
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,1970-07-18,1970-07-18,1970,,136,182.19,58.17,124.02
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,1974-07-13,1974-07-13,1974,,135,172.92,11.8,161.12
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,1980-11-27,1980-11-27,1980,,135,162.77,1.65,161.12
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,1986-10-26,1986-10-26,1986,,136,148.52,24.5,124.02
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,1991-10-18,1991-10-18,1991,,136,130.4,6.38,124.02
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,1994-10-21,1994-10-21,1994,,136,128.44,4.42,124.02
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2000-07-13,2000-07-13,2000,,136В,105.42,105.42,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2001-07-15,2001-07-15,2001,,136А*,100.47,30.74,69.73
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2005-07-22,2005-07-22,2005,,136А,82.19,12.46,69.73
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2005-10-15,2005-10-15,2005,,136А,82.15,12.42,69.73
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2006-07-22,2006-07-22,2006,,136А,78.33,8.6,69.73
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2006-09-30,2006-09-30,2006,,136А,78.26,8.53,69.73
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2009-07-20,2009-07-20,2009,,136В(0907),57.79,57.79,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2010-07-24,2010-07-24,2010,,136В(1007),65.33,65.33,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2011-09-14,2011-09-14,2011,,136В(1109),65.49,65.49,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2012-10-16,2012-10-16,2012,,136В(1109),64.52,64.52,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2013-07-09,2013-07-09,2013,,136В(1109),62.49,62.49,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2016-05-25,2016-05-25,2016,,136В(1109),53.2,53.2,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2019-08-14,2019-08-14,2019,,136В(1109),45.8,45.8,0.0
results_models\profiles\Бережновка__ПРОФИЛЬ___60.xlsx,Бережновка,ПРОФИЛЬ___60,2021-07-07,2021-07-07,2021,,136В(1109),29.0,29.0,0.0
