site_id,site_name,profile_id_a,profile_id_b,n_overlap,pearson_rate,spearman_rate,overlap_caution_flag,mean_rate_a,mean_rate_b,std_rate_a,std_rate_b,same_sign_share,opposite_sign_share,zero_or_near_zero_share,duplicate_conflict_context_any,short_note,correlation_basis,interpretation_note
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_61,23,0.5533341404495248,0.6482213438735179,adequate_overlap,-3.031612233493517,-3.71177178269864,3.468444205118357,2.6178289365352017,0.9130434782608695,0.08695652173913043,0.0,False,mostly_same_direction,within_site_only; exact_date_start_date_end_match_only; no_imputation; signed_retreat_rate_m_per_year; pearson_linear; spearman_monotonic; interpret_with_n_overlap,Negative coefficients indicate opposite signed behavior in the adopted profile convention; read with extra caution when overlap is small or duplicate-conflict context is present.
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,21,0.014741378183589516,0.47792207792207797,adequate_overlap,-3.0955709795496795,-1.5324341918729794,3.5643953924834184,13.277700306938856,0.8571428571428571,0.14285714285714285,0.0,False,mostly_same_direction,within_site_only; exact_date_start_date_end_match_only; no_imputation; signed_retreat_rate_m_per_year; pearson_linear; spearman_monotonic; interpret_with_n_overlap,Negative coefficients indicate opposite signed behavior in the adopted profile convention; read with extra caution when overlap is small or duplicate-conflict context is present.
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,21,-0.11619419435800553,0.425974025974026,adequate_overlap,-3.3627295506904096,-1.5324341918729794,2.461506855839307,13.277700306938856,0.9523809523809523,0.047619047619047616,0.0,False,mostly_same_direction,within_site_only; exact_date_start_date_end_match_only; no_imputation; signed_retreat_rate_m_per_year; pearson_linear; spearman_monotonic; interpret_with_n_overlap,Negative coefficients indicate opposite signed behavior in the adopted profile convention; read with extra caution when overlap is small or duplicate-conflict context is present.
burty,Бурты,burty_profile_1,burty_profile_2,24,0.46825278452989727,0.728695652173913,adequate_overlap,-1.0701891793885787,-1.1824458813290637,1.2174613000146444,1.1568060536598832,0.7916666666666666,0.08333333333333333,0.125,False,mostly_same_direction,within_site_only; exact_date_start_date_end_match_only; no_imputation; signed_retreat_rate_m_per_year; pearson_linear; spearman_monotonic; interpret_with_n_overlap,Negative coefficients indicate opposite signed behavior in the adopted profile convention; read with extra caution when overlap is small or duplicate-conflict context is present.
burty,Бурты,burty_profile_1,burty_profile_3,22,0.537315887149798,0.36871823828345573,adequate_overlap,-1.0518924109343473,-0.8106446580111267,1.2338779828313418,0.8763317156934167,0.6363636363636364,0.09090909090909091,0.2727272727272727,False,mostly_same_direction,within_site_only; exact_date_start_date_end_match_only; no_imputation; signed_retreat_rate_m_per_year; pearson_linear; spearman_monotonic; interpret_with_n_overlap,Negative coefficients indicate opposite signed behavior in the adopted profile convention; read with extra caution when overlap is small or duplicate-conflict context is present.
burty,Бурты,burty_profile_2,burty_profile_3,22,0.5161330906889439,0.4963297571993225,adequate_overlap,-1.1138130083963764,-0.8106446580111267,1.1153411576686514,0.8763317156934167,0.6818181818181818,0.045454545454545456,0.2727272727272727,False,mostly_same_direction,within_site_only; exact_date_start_date_end_match_only; no_imputation; signed_retreat_rate_m_per_year; pearson_linear; spearman_monotonic; interpret_with_n_overlap,Negative coefficients indicate opposite signed behavior in the adopted profile convention; read with extra caution when overlap is small or duplicate-conflict context is present.
molchanovka,Молчановка,molchanovka_profile_57,molchanovka_profile_58,23,0.6216663005154663,0.4041501976284585,adequate_overlap,-0.9705293286134868,-1.5315415378821229,1.5331416977597256,1.184655207883276,0.7391304347826086,0.08695652173913043,0.17391304347826086,False,mostly_same_direction,within_site_only; exact_date_start_date_end_match_only; no_imputation; signed_retreat_rate_m_per_year; pearson_linear; spearman_monotonic; interpret_with_n_overlap,Negative coefficients indicate opposite signed behavior in the adopted profile convention; read with extra caution when overlap is small or duplicate-conflict context is present.
molchanovka,Молчановка,molchanovka_profile_57,molchanovka_profile_59,21,0.7164423036894783,0.45714285714285713,adequate_overlap,-1.1392171953051817,-1.31879668342047,1.4518618072145038,1.27000411484585,0.7619047619047619,0.0,0.23809523809523808,False,mostly_same_direction,within_site_only; exact_date_start_date_end_match_only; no_imputation; signed_retreat_rate_m_per_year; pearson_linear; spearman_monotonic; interpret_with_n_overlap,Negative coefficients indicate opposite signed behavior in the adopted profile convention; read with extra caution when overlap is small or duplicate-conflict context is present.
molchanovka,Молчановка,molchanovka_profile_58,molchanovka_profile_59,21,0.7107989666983869,0.5181818181818182,adequate_overlap,-1.5508258011788727,-1.31879668342047,1.2312660993983444,1.27000411484585,0.8095238095238095,0.0,0.19047619047619047,False,mostly_same_direction,within_site_only; exact_date_start_date_end_match_only; no_imputation; signed_retreat_rate_m_per_year; pearson_linear; spearman_monotonic; interpret_with_n_overlap,Negative coefficients indicate opposite signed behavior in the adopted profile convention; read with extra caution when overlap is small or duplicate-conflict context is present.
nizhniy_balykley,Нижний Балыклей,nizhniy_balykley_profile_52,nizhniy_balykley_profile_53,18,0.37473831985880157,0.696594427244582,adequate_overlap,-4.268876141552312,-4.4542988870286315,2.469205753589663,4.141526503201441,0.9444444444444444,0.05555555555555555,0.0,False,mostly_same_direction,within_site_only; exact_date_start_date_end_match_only; no_imputation; signed_retreat_rate_m_per_year; pearson_linear; spearman_monotonic; interpret_with_n_overlap,Negative coefficients indicate opposite signed behavior in the adopted profile convention; read with extra caution when overlap is small or duplicate-conflict context is present.
nizhniy_balykley,Нижний Балыклей,nizhniy_balykley_profile_52,nizhniy_balykley_profile_54,17,0.155661815434787,0.5245098039215687,adequate_overlap,-4.308934290051532,-3.455859401190719,2.539163068323427,2.0415559848158362,0.9411764705882353,0.058823529411764705,0.0,False,mostly_same_direction,within_site_only; exact_date_start_date_end_match_only; no_imputation; signed_retreat_rate_m_per_year; pearson_linear; spearman_monotonic; interpret_with_n_overlap,Negative coefficients indicate opposite signed behavior in the adopted profile convention; read with extra caution when overlap is small or duplicate-conflict context is present.
nizhniy_balykley,Нижний Балыклей,nizhniy_balykley_profile_53,nizhniy_balykley_profile_54,21,-0.22177444615176867,0.4753246753246753,adequate_overlap,-4.050678356247833,-3.257879797205048,3.9426998845945245,1.8850166112653706,0.9047619047619048,0.09523809523809523,0.0,False,mostly_same_direction,within_site_only; exact_date_start_date_end_match_only; no_imputation; signed_retreat_rate_m_per_year; pearson_linear; spearman_monotonic; interpret_with_n_overlap,Negative coefficients indicate opposite signed behavior in the adopted profile convention; read with extra caution when overlap is small or duplicate-conflict context is present.
nizhniy_urakov,Нижний Ураков,nizhniy_urakov_profile_1,nizhniy_urakov_profile_2,17,-0.11279739906999023,-0.12776451341301862,adequate_overlap,-0.955625381261788,-0.6425011892792241,0.8315685980917005,0.5999592911050161,0.5294117647058824,0.11764705882352941,0.35294117647058826,False,,within_site_only; exact_date_start_date_end_match_only; no_imputation; signed_retreat_rate_m_per_year; pearson_linear; spearman_monotonic; interpret_with_n_overlap,Negative coefficients indicate opposite signed behavior in the adopted profile convention; read with extra caution when overlap is small or duplicate-conflict context is present.
nizhniy_urakov,Нижний Ураков,nizhniy_urakov_profile_1,nizhniy_urakov_profile_3,13,-0.06033461615316591,-0.17032967032967034,adequate_overlap,-1.0405836698289177,-0.3296076130053815,0.8261951999805391,0.3671987659528671,0.6153846153846154,0.07692307692307693,0.3076923076923077,False,mostly_same_direction,within_site_only; exact_date_start_date_end_match_only; no_imputation; signed_retreat_rate_m_per_year; pearson_linear; spearman_monotonic; interpret_with_n_overlap,Negative coefficients indicate opposite signed behavior in the adopted profile convention; read with extra caution when overlap is small or duplicate-conflict context is present.
nizhniy_urakov,Нижний Ураков,nizhniy_urakov_profile_1,nizhniy_urakov_profile_4,18,0.012635605952938356,0.11867905056759545,adequate_overlap,-0.8856290334356641,-1.1498263827682051,0.8242415939226737,1.016265427915008,0.8333333333333334,0.05555555555555555,0.1111111111111111,False,mostly_same_direction,within_site_only; exact_date_start_date_end_match_only; no_imputation; signed_retreat_rate_m_per_year; pearson_linear; spearman_monotonic; interpret_with_n_overlap,Negative coefficients indicate opposite signed behavior in the adopted profile convention; read with extra caution when overlap is small or duplicate-conflict context is present.
nizhniy_urakov,Нижний Ураков,nizhniy_urakov_profile_2,nizhniy_urakov_profile_3,14,0.7903749361102651,0.8206825648192402,adequate_overlap,-0.622921646696999,-0.3108173725789957,0.6995825545226987,0.3551450779597558,0.5,0.0,0.5,False,many_zero_or_near_zero_intervals,within_site_only; exact_date_start_date_end_match_only; no_imputation; signed_retreat_rate_m_per_year; pearson_linear; spearman_monotonic; interpret_with_n_overlap,Negative coefficients indicate opposite signed behavior in the adopted profile convention; read with extra caution when overlap is small or duplicate-conflict context is present.
nizhniy_urakov,Нижний Ураков,nizhniy_urakov_profile_2,nizhniy_urakov_profile_4,16,0.23932946548123415,0.2575423802460513,adequate_overlap,-0.6826304489187422,-0.8951181339536902,0.5956023972503536,0.8004389595399505,0.625,0.125,0.25,False,mostly_same_direction,within_site_only; exact_date_start_date_end_match_only; no_imputation; signed_retreat_rate_m_per_year; pearson_linear; spearman_monotonic; interpret_with_n_overlap,Negative coefficients indicate opposite signed behavior in the adopted profile convention; read with extra caution when overlap is small or duplicate-conflict context is present.
