site_id,site_name,profile_id_a,profile_id_b,profile_name_a,profile_name_b,n_overlap_intervals,pearson_retreat_m,spearman_retreat_m,pearson_retreat_rate_m_per_year,spearman_retreat_rate_m_per_year,overlap_caution_flag,pearson_rate_strength,spearman_rate_strength,is_low_sample,note
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_61,ПРОФИЛЬ № 60,ПРОФИЛЬ № 61,23,0.8507444124683149,0.9021739130434783,0.5533341404495248,0.6482213438735179,adequate_overlap,moderate,moderate,False,
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,21,0.5912941561586678,0.7727272727272727,0.014741378183589516,0.47792207792207797,adequate_overlap,weak,moderate,False,
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,21,0.5902076507260219,0.7870129870129869,-0.11619419435800553,0.425974025974026,adequate_overlap,weak,moderate,False,
burty,Бурты,burty_profile_1,burty_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,24,0.859843009199659,0.7826086956521738,0.46825278452989727,0.728695652173913,adequate_overlap,moderate,high,False,
burty,Бурты,burty_profile_1,burty_profile_3,ПРОФИЛЬ № 1,ПРОФИЛЬ № 3,22,0.8600484666678225,0.5004236291051523,0.537315887149798,0.36871823828345573,adequate_overlap,moderate,weak,False,
burty,Бурты,burty_profile_2,burty_profile_3,ПРОФИЛЬ № 2,ПРОФИЛЬ № 3,22,0.871099893289335,0.650098868058725,0.5161330906889439,0.4963297571993225,adequate_overlap,moderate,moderate,False,
molchanovka,Молчановка,molchanovka_profile_57,molchanovka_profile_58,ПРОФИЛЬ № 57,ПРОФИЛЬ № 58,23,0.8751594579083632,0.7855731225296443,0.6216663005154663,0.4041501976284585,adequate_overlap,moderate,moderate,False,
molchanovka,Молчановка,molchanovka_profile_57,molchanovka_profile_59,ПРОФИЛЬ № 57,ПРОФИЛЬ № 59,21,0.8744321670459192,0.8314388226754386,0.7164423036894783,0.45714285714285713,adequate_overlap,high,moderate,False,
molchanovka,Молчановка,molchanovka_profile_58,molchanovka_profile_59,ПРОФИЛЬ № 58,ПРОФИЛЬ № 59,21,0.9668167762022724,0.8658655864268434,0.7107989666983869,0.5181818181818182,adequate_overlap,high,moderate,False,
nizhniy_balykley,Нижний Балыклей,nizhniy_balykley_profile_52,nizhniy_balykley_profile_53,ПРОФИЛЬ № 52,ПРОФИЛЬ № 53,18,0.8926101174563484,0.8968008255933952,0.37473831985880157,0.696594427244582,adequate_overlap,weak,moderate,False,
nizhniy_balykley,Нижний Балыклей,nizhniy_balykley_profile_52,nizhniy_balykley_profile_54,ПРОФИЛЬ № 52,ПРОФИЛЬ № 54,17,0.9500270799954934,0.8995098039215688,0.155661815434787,0.5245098039215687,adequate_overlap,weak,moderate,False,
nizhniy_balykley,Нижний Балыклей,nizhniy_balykley_profile_53,nizhniy_balykley_profile_54,ПРОФИЛЬ № 53,ПРОФИЛЬ № 54,21,0.8872414677776724,0.8480519480519481,-0.22177444615176867,0.4753246753246753,adequate_overlap,weak,moderate,False,
nizhniy_urakov,Нижний Ураков,nizhniy_urakov_profile_1,nizhniy_urakov_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,17,0.38518506737801156,0.18673275037287332,-0.11279739906999023,-0.12776451341301862,adequate_overlap,weak,weak,False,
nizhniy_urakov,Нижний Ураков,nizhniy_urakov_profile_1,nizhniy_urakov_profile_3,ПРОФИЛЬ № 1,ПРОФИЛЬ № 3,13,0.4493817316203553,0.3131868131868132,-0.06033461615316591,-0.17032967032967034,adequate_overlap,weak,weak,False,
nizhniy_urakov,Нижний Ураков,nizhniy_urakov_profile_1,nizhniy_urakov_profile_4,ПРОФИЛЬ № 1,ПРОФИЛЬ № 4,18,0.8862201948476952,0.6429308565531475,0.012635605952938356,0.11867905056759545,adequate_overlap,weak,weak,False,
nizhniy_urakov,Нижний Ураков,nizhniy_urakov_profile_2,nizhniy_urakov_profile_3,ПРОФИЛЬ № 2,ПРОФИЛЬ № 3,14,0.8957740142553124,0.7766781377511844,0.7903749361102651,0.8206825648192402,adequate_overlap,high,high,False,
nizhniy_urakov,Нижний Ураков,nizhniy_urakov_profile_2,nizhniy_urakov_profile_4,ПРОФИЛЬ № 2,ПРОФИЛЬ № 4,16,0.531039463975784,0.4738779796527344,0.23932946548123415,0.2575423802460513,adequate_overlap,weak,weak,False,
nizhniy_urakov,Нижний Ураков,nizhniy_urakov_profile_3,nizhniy_urakov_profile_4,ПРОФИЛЬ № 3,ПРОФИЛЬ № 4,13,0.4382998685821789,0.14835164835164835,0.2201830089994909,0.1868131868131868,adequate_overlap,weak,weak,False,
novonikolskoe,Новоникольское,novonikolskoe_profile_49,novonikolskoe_profile_50,ПРОФИЛЬ № 49,ПРОФИЛЬ № 50,11,0.9697804329441234,0.9727272727272729,0.9987384204101324,0.8000000000000002,adequate_overlap,very_high,high,False,
novonikolskoe,Новоникольское,novonikolskoe_profile_49,novonikolskoe_profile_51,ПРОФИЛЬ № 49,ПРОФИЛЬ № 51,14,0.9269051903067818,0.9208791208791209,0.997781490146655,0.8021978021978022,adequate_overlap,very_high,high,False,
novonikolskoe,Новоникольское,novonikolskoe_profile_50,novonikolskoe_profile_51,ПРОФИЛЬ № 50,ПРОФИЛЬ № 51,16,0.989177157859044,0.9794117647058824,0.9981259703286489,0.911764705882353,adequate_overlap,very_high,very_high,False,
pichuga_yuzhny,Пичуга-Южный,pichuga_yuzhny_profile_4,pichuga_yuzhny_profile_5,ПРОФИЛЬ № 4,ПРОФИЛЬ № 5,8,0.6148590223612911,0.7142857142857144,0.036210441480307415,0.6190476190476191,limited_overlap,weak_but_limited_overlap,moderate_but_limited_overlap,False,Сопоставимых интервалов меньше 10; интерпретация силы связи должна быть осторожной.
pichuga_yuzhny,Пичуга-Южный,pichuga_yuzhny_profile_4,pichuga_yuzhny_profile_6,ПРОФИЛЬ № 4,ПРОФИЛЬ № 6,4,0.24471142618783617,0.39999999999999997,0.3823273168233967,0.19999999999999998,limited_overlap,weak_but_limited_overlap,weak_but_limited_overlap,False,Сопоставимых интервалов меньше 10; интерпретация силы связи должна быть осторожной.
pichuga_yuzhny,Пичуга-Южный,pichuga_yuzhny_profile_5,pichuga_yuzhny_profile_6,ПРОФИЛЬ № 5,ПРОФИЛЬ № 6,8,0.5450883841781249,0.7857142857142858,0.7073351653686534,0.8095238095238096,limited_overlap,high_but_limited_overlap,high_but_limited_overlap,False,Сопоставимых интервалов меньше 10; интерпретация силы связи должна быть осторожной.
proleyskiy,Пролейский,proleyskiy_profile_1,proleyskiy_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,15,0.25312916964234117,0.48479505121181626,0.14705522146636787,0.40035762188636353,adequate_overlap,weak,moderate,False,
proleyskiy,Пролейский,proleyskiy_profile_1,proleyskiy_profile_3,ПРОФИЛЬ № 1,ПРОФИЛЬ № 3,13,0.22426334198974202,0.6217337381052243,0.05120914265380566,0.37138962231949246,adequate_overlap,weak,weak,False,
proleyskiy,Пролейский,proleyskiy_profile_2,proleyskiy_profile_3,ПРОФИЛЬ № 2,ПРОФИЛЬ № 3,22,0.9093047544423206,0.6576272235991056,0.7943326909286283,0.7594579333709771,adequate_overlap,high,high,False,
urakov_bugor,Ураков Бугор,urakov_bugor_profile_1,urakov_bugor_profile_2,ПРОФИЛЬ № 1,ПРОФИЛЬ № 2,19,0.19794170173266687,0.21890112004841256,-0.16467052182391415,0.2035980889286078,adequate_overlap,weak,weak,False,
urakov_bugor,Ураков Бугор,urakov_bugor_profile_1,urakov_bugor_profile_3,ПРОФИЛЬ № 1,ПРОФИЛЬ № 3,9,0.14024415159942963,0.35983578576496095,-0.0004439860125358898,0.25,limited_overlap,weak_but_limited_overlap,weak_but_limited_overlap,False,Сопоставимых интервалов меньше 10; интерпретация силы связи должна быть осторожной.
urakov_bugor,Ураков Бугор,urakov_bugor_profile_2,urakov_bugor_profile_3,ПРОФИЛЬ № 2,ПРОФИЛЬ № 3,11,0.19613114137081233,0.6514823280368335,-0.033096677018365106,0.15454545454545454,adequate_overlap,weak,weak,False,
