rank,target,model,feature_name,importance_mean,importance_std
1,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,interval_mid_year,0.7007882144735509,0.10335490315929353
2,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,exposure_sectors_text,0.2694638341029626,0.07582231446674748
3,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,history_start_year,0.19126249921049848,0.04064663752123511
4,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,shore_type,0.10334047096251923,0.032166254235750605
5,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,mean_water_level_mean_annual_m_abs,0.08767650288567083,0.014600861257826716
6,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,lithology_text,0.07674354319246399,0.037280833075813896
7,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,shore_orientation_text,0.06526233235144144,0.022143239990069886
8,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,n_water_obs,0.059374761394456535,0.025620310364780165
9,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,range_water_level_max_annual_m_abs,0.055640696864406945,0.03153614093115803
10,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,mean_water_level_max_annual_m_abs,0.054687953168131895,0.017675864977513413
11,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,shore_orientation_deg,0.048395312557289995,0.025685673513394798
12,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,range_water_level_mean_annual_m_abs,0.010945203909261259,0.011430236015620794
13,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,max_water_level_mean_annual_m_abs,0.010436006187894076,0.009373049617969632
14,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,coverage_water,0.0092480482286599,0.005622485741528259
15,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,history_start_group,0.0018825633875854896,0.0010813663462465838
16,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,has_conflicting_shoreline_duplicates,0.0006746619665216836,0.0001870107511946936
17,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,water_time_resolution,0.0,0.0
18,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,conflicting_duplicate_group_count,0.0,0.0
19,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,water_context_scope,0.0,0.0
20,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,lithology_class,-0.000639436346310518,0.0009934822940139891
21,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,min_water_level_max_annual_m_abs,-0.0017019756940292452,0.023313516441888272
22,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,min_water_level_mean_annual_m_abs,-0.010459571974900583,0.01694906127538146
23,retreat_rate_abs_m_per_year,HistGradientBoostingRegressor,max_water_level_max_annual_m_abs,-0.017553616173465313,0.014003432362105047
